participant_id,gender,ethnicity,country,age,evaluations_poop,evaluations_chocolate,evaluations_poop_pos_neg,evaluations_poop_pleasant_unpleasant,evaluations_poop_good_bad,evaluations_chocolate_pos_neg,evaluations_chocolate_pleasant_unpleasant,evaluations_chocolate_good_bad
088cf,male,White,United Kingdom,55,4,6,4,4,4,6,6,6
bcae1,male,White,United Kingdom,54,2.3333333333333335,7,2,2,3,7,7,7
d21b0,female,White,United Kingdom,57,1,7,1,1,1,7,7,7
2019a,female,White,United Kingdom,29,1,7,1,1,1,7,7,7
c1b73,male,White,United Kingdom,36,3,7,4,1,4,7,7,7
e8e9d,male,White,United States,37,2,7,2,2,2,7,7,7
0b3c5,female,White,United Kingdom,59,1,7,1,1,1,7,7,7
af70a,female,White,United Kingdom,48,2,7,1,1,4,7,7,7
0665d,female,White,United Kingdom,38,1,6.333333333333333,1,1,1,6,7,6
7a19d,female,White,United Kingdom,64,4,5,4,4,4,5,5,5
9a843,female,White,United Kingdom,59,2.6666666666666665,6,2,2,4,6,6,6
c9126,female,White,United Kingdom,56,2.3333333333333335,6,2,2,3,6,6,6
f7e6a,female,Mixed,United Kingdom,34,2,7,1,1,4,7,7,7
94368,female,White,United Kingdom,61,1,7,1,1,1,7,7,7
7690c,female,White,United Kingdom,70,2,4.666666666666667,1,1,4,5,5,4
d641f,female,White,United Kingdom,71,1,6.333333333333333,1,1,1,6,7,6
c7408,female,White,United Kingdom,44,1.6666666666666667,6.333333333333333,2,1,2,6,7,6
af769,male,White,United Kingdom,50,3,6.333333333333333,4,1,4,6,7,6
5ed16,male,White,United Kingdom,27,1,7,1,1,1,7,7,7
56353,female,White,United Kingdom,46,1.3333333333333333,6,1,1,2,6,6,6
770a3,male,White,United Kingdom,62,1,5,1,1,1,5,7,3
35d08,male,White,United Kingdom,66,3.6666666666666665,5.333333333333333,4,3,4,6,6,4
0730e,female,White,United Kingdom,59,2.3333333333333335,7,1,1,5,7,7,7
933f7,female,White,United Kingdom,60,1.3333333333333333,6.333333333333333,1,1,2,6,7,6
b7c29,male,White,United Kingdom,69,1.3333333333333333,6.666666666666667,1,1,2,6,7,7
743fd,female,White,United Kingdom,63,1,6,1,1,1,6,6,6
d4969,male,White,United Kingdom,39,1,7,1,1,1,7,7,7
7f813,male,White,United States,69,1,6.333333333333333,1,1,1,6,6,7
13c37,female,White,United Kingdom,61,2.6666666666666665,6.666666666666667,2,2,4,7,7,6
4d4b5,male,White,United Kingdom,43,3,6.666666666666667,4,1,4,6,7,7
ae0dd,female,White,United Kingdom,57,1,7,1,1,1,7,7,7
435b1,female,White,United Kingdom,42,1.6666666666666667,7,2,1,2,7,7,7
c8695,male,White,United Kingdom,60,1,7,1,1,1,7,7,7
4c038,male,White,United Kingdom,29,1.3333333333333333,7,1,1,2,7,7,7
066fe,female,White,United States,42,1.6666666666666667,5.666666666666667,1,1,3,6,5,6
6d375,male,White,United Kingdom,41,1,6,1,1,1,6,6,6
ddb1b,male,White,United Kingdom,61,1,6.666666666666667,1,1,1,6,7,7
